Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,HQ MAIN DISP,154.37,split,153.89,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,HQ Main Dispatch,,,,
1,HQ W DISP,159,split,158.79,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,HQ West Dispatch,,,,
2,HQ S DISP,151.115,split,153.95,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,HQ South Dispatch,,,,
3,Wake Fire Alert,154.19,,0.6,DTCS,88.5,88.5,72,NN,72,Tone->Tone,NFM,5,,50W,Fire-Locution Dispatch (800 MHz Silmulcast),,,,
4,Wake County Fire,154.295,,0.6,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,Fire,,,,
5,Wake POCSAG,155.52,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Wake County Fire/EMS POCSAG Pagers,,,,
6,DIRECT 1,769.00625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Direct 1,,,,
7,DIRECT 2,769.01875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Direct 2,,,,
8,DIRECT 3,769.03125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Direct 3,,,,
9,DIRECT 4,769.04375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Direct 4,,,,
10,DVRS Wake,770.9625,split,800.9625,,88.5,88.5,23,NN,23,Tone->Tone,P25,5,,50W,Digital Vehicular Repeater System,,,,
11,EMS ALRT,156.225,,0.6,DTCS,88.5,88.5,134,NN,134,Tone->Tone,NFM,5,,50W,Raleigh/Wake County EMS Locution VHF Simulcast of 800Mhz,,,,
12,Skywarn Primary,146.88,split,146.28,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Central Carolina Skywarn Primary,,,,
13,Wake ARES Pri,147.105,split,147.705,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,50W,Wake County ARES Primary,,,,
14,Skywarn Backup,145.21,,0.6,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,50W,Central Carolina Skywarn Backup,,,,
15,Wake ARES Smplx1,147.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Wake County ARES Simplex Primary,,,,
16,Wake ARES Smplx2,147.57,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Wake County ARES Simplex Secondary,,,,
17,KC4SCO 444.075,444.075,split,449.075,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,"Morrisville, Cisco Campus",,,,
18,KD4RAA 146.775,146.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh,,,,
19,RARS 146.64,146.64,split,146.04,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh Raleigh Amateur Radio Society,,,,
20,RARS Simplex,147.42,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh Raleigh Amateur Radio Society Simplex,,,,
21,KD4PBS 442.075,442.075,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Apex,,,,
22,NCSU StARS,442.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,North Carolina State Student Amateur Radio Society,,,,
23,W4BAD 443.175,443.175,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Downtown Raleigh,,,,
24,K4ITL 444.3,444.3,,0.6,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh,,,,
25,K4GWH 444.825,444.825,,0.6,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh,,,,
26,K4ITL 53.05,53.03,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh,,,,
27,K4ITL 224.16,224.16,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Auburn,,,,
28,K4GWH 145.19,145.19,,0.6,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,5,,50W,Raleigh,,,,
29,AK4H 147.27,147.27,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Auburn,,,,
30,AA4RV 147.315,147.315,,0.6,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Rolesville,,,,
31,WB4IUY 147.39,147.39,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Apex,,,,
32,WB4IUY 224.8,224.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Zebulon,,,,
33,K4ITL 443.3375,443.3375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Auburn,,,,
34,Bayleaf/6 Forks,444.525,split,449.525,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Bayleaf / 6  Forks,,,,
35,AA4RV 444.95,444.95,split,449.95,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,Rolesville,,,,
